x,y,z,yaw,velocity,change_flag
34.2794,0.7566,0.3707,-0.0116,0,0
35.2939,0.7476,0.3786,-0.0134,3.2031,0
36.3148,0.7453,0.3889,0.0043,3.7033,0
37.3814,0.7889,0.4143,0.0504,4.7874,0
38.4498,0.9101,0.4004,0.1088,5.1436,0
39.4380,1.0812,0.4081,0.1829,4.8870,0
40.5185,1.3519,0.3888,0.2834,6.0498,0
41.4909,1.7264,0.3764,0.3873,6.3203,0
42.4951,2.2053,0.3580,0.4984,6.6069,0
43.4429,2.8284,0.3361,0.6157,4.8460,0
44.3013,3.5247,0.3102,0.7273,4.6653,0
45.0813,4.2957,0.3006,0.8264,4.4490,0
45.7454,5.1079,0.2884,0.9156,4.7090,0
46.3366,5.9724,0.2501,1.0035,4.4587,0
46.8458,6.8415,0.2351,1.0966,4.8297,0
47.2779,7.7571,0.2213,1.1993,4.4851,0
47.5944,8.8314,0.1943,1.2858,5.1330,0
47.8218,9.8531,0.1697,1.3431,5.4848,0
48.0059,10.9761,0.1499,1.3929,5.9420,0
48.1369,12.0681,0.1423,1.4255,6.6171,0
48.2596,13.1868,0.1009,1.4562,6.7234,0
48.3449,14.3467,0.0819,1.4898,6.9661,0
48.3943,15.5437,0.0714,1.5198,7.2938,0
48.4152,16.5548,0.0364,1.5374,7.1778,0
48.4354,17.5606,0.0212,1.5456,6.8753,0
48.4481,18.5875,0.0077,1.5493,7.4629,0
48.4386,19.5955,-0.0029,1.5518,7.2020,0
48.4322,20.6014,-0.0197,1.5555,6.9499,0
48.4236,21.6144,-0.0235,1.5586,7.0909,0
48.4113,22.6293,-0.0308,1.5603,7.2038,0
48.3980,23.6348,-0.0440,1.5621,7.2925,0
48.3892,24.6499,-0.0447,1.5639,7.5423,0
48.3736,25.6746,-0.0536,1.5650,7.4371,0
48.3504,26.6864,-0.0442,1.5658,7.2916,0
48.3278,27.6938,-0.0662,1.5662,6.9714,0
48.3061,28.8787,-0.0629,1.5663,7.3178,0
48.2826,29.9120,-0.0647,1.5664,7.4516,0
48.2628,30.9646,-0.0956,1.5677,7.4607,0
48.2498,32.0259,-0.0921,1.5684,7.6256,0
48.2322,33.1124,-0.1152,1.5681,8.0120,0
48.2103,34.2039,-0.1238,1.5677,7.9869,0
48.1867,35.3227,-0.1441,1.5673,7.4767,0
48.1673,36.4178,-0.1455,1.5678,7.8795,0
48.1539,37.5834,-0.1623,1.5682,8.2220,0
48.1208,38.6484,-0.1674,1.5684,7.6945,0
48.1095,39.7434,-0.1729,1.5686,7.9982,0
48.0857,40.8404,-0.1915,1.5694,7.7255,0
48.0633,41.9265,-0.2109,1.5700,7.4037,0
48.0351,43.0362,-0.2379,1.5712,8.0045,0
47.9987,44.1634,-0.2585,1.5721,7.8384,0
47.9736,45.3022,-0.2736,1.5726,7.9901,0
47.9398,46.4478,-0.2957,1.5734,8.0057,0
47.9128,47.6048,-0.3195,1.5741,7.9355,0
47.8652,48.7679,-0.3523,1.5747,8.2131,0
47.8388,49.9189,-0.3827,1.5734,8.0933,0
47.8108,51.0686,-0.4041,1.5720,8.3439,0
47.7898,52.1609,-0.4085,1.5711,7.7832,0
47.7522,53.2546,-0.4382,1.5704,7.5612,0
47.7380,54.3591,-0.4305,1.5684,7.6114,0
47.7239,55.4669,-0.4397,1.5668,7.9013,0
47.7206,56.5710,-0.4442,1.5685,8.2959,0
47.6929,57.6739,-0.4852,1.5704,8.2095,0
47.6595,58.7884,-0.5060,1.5722,7.7066,0
47.6360,59.8537,-0.5354,1.5714,7.3526,0
47.6263,60.9005,-0.5502,1.5707,7.4746,0
47.5946,61.9662,-0.5734,1.5704,7.6321,0
47.5646,63.0146,-0.5737,1.5708,7.7774,0
47.5431,64.0715,-0.5821,1.5713,7.6175,0
47.5018,65.0943,-0.5907,1.5709,7.1725,0
47.4934,66.2707,-0.6002,1.5711,6.7521,0
47.4811,67.3595,-0.6051,1.5712,6.1187,0
47.4523,68.3593,-0.6161,1.5699,5.8420,0
47.4364,69.4718,-0.6207,1.5692,4.6907,0
47.3957,70.4753,-0.6177,1.5688,3.2372,0
47.3846,71.5046,-0.6286,1.5686,3.5182,0
47.3846,72.5046,-0.6286,1.5686,3.5182,0
47.3846,73.5046,-0.6286,1.5686,0.5182,0
