x,y,z,yaw,velocity,change_flag
-51.0988,211.4561,-1.6176,1.5806,0,0
-51.1353,212.4598,-1.6199,1.5790,5.9068,0
-51.1529,213.5735,-1.6245,1.5778,6.6373,0
-51.1851,214.7381,-1.6158,1.5785,6.5825,0
-51.2111,215.9192,-1.6202,1.5775,7.3789,0
-51.2492,216.9544,-1.6139,1.5771,7.3647,0
-51.2781,217.9859,-1.6037,1.5760,7.5870,0
-51.3166,219.0483,-1.5929,1.5763,7.8798,0
-51.3420,220.2520,-1.5751,1.5761,7.2461,0
-51.3642,221.3954,-1.5545,1.5763,6.5762,0
-51.3901,222.4842,-1.5425,1.5760,6.4483,0
-51.4555,223.6196,-1.5342,1.5767,5.2570,0
-51.4747,224.6562,-1.5283,1.5768,5.5168,0
-51.5204,225.7311,-1.5218,1.5775,5.4167,0
-51.5322,226.7325,-1.4944,1.5766,5.6972,0
-51.5574,227.7343,-1.4828,1.5766,5.9002,0
-51.5925,228.8043,-1.4419,1.5765,6.0079,0
-51.6042,229.8602,-1.4101,1.5780,6.5207,0
-51.6416,230.9298,-1.3601,1.5822,6.3723,0
-51.6644,231.9997,-1.3297,1.5991,6.1648,0
-51.6521,233.0945,-1.3058,1.6678,6.6344,0
-51.7770,234.0894,-1.2550,1.7955,6.1323,0
-52.1077,235.0512,-1.1983,1.9779,4.8596,0
-52.6159,235.9598,-1.1385,2.1528,5.4038,0
-53.2917,236.7837,-1.1008,2.3146,5.7995,0
-54.1173,237.4494,-1.0429,2.4712,5.0943,0
-55.0107,237.9880,-0.9879,2.5834,6.3564,0
-55.9366,238.4295,-0.9643,2.7217,7.3157,0
-56.9618,238.7408,-0.9281,2.8966,6.5771,0
-58.0816,238.8884,-0.8903,3.0800,8.2607,0
-59.1784,238.8463,-0.8407,-3.0127,6.5163,0
-60.3002,238.5156,-0.8462,-2.8205,7.2621,0
-61.3711,238.0455,-0.8454,-2.6213,7.8822,0
-62.2383,237.4711,-0.8563,-2.4560,8.1602,0
-63.0129,236.7057,-0.8689,-2.2888,8.9243,0
-63.6281,235.8765,-0.8708,-2.1211,7.7309,0
-64.1019,234.8911,-0.9344,-1.9493,6.8138,0
-64.4182,233.8492,-0.9410,-1.7792,7.4872,0
-64.5077,232.7724,-0.9782,-1.6130,7.5330,0
-64.4237,231.6988,-1.0219,-1.4569,8.2706,0
-64.2302,230.6587,-1.0734,-1.3137,7.4260,0
-63.8767,229.6977,-1.0770,-1.1970,7.5286,0
-63.4250,228.7537,-1.1029,-1.1102,7.7669,0
-62.8805,227.8644,-1.1380,-1.0543,7.3581,0
-62.3339,226.9846,-1.1801,-1.0211,7.1034,0
-61.7309,226.1204,-1.2100,-1.0111,7.3953,0
-61.1516,225.2407,-1.2491,-1.0190,7.3691,0
-60.5868,224.3663,-1.2852,-1.0431,7.6428,0
-60.0659,223.4510,-1.2904,-1.0796,7.8234,0
-59.6196,222.5494,-1.3096,-1.1257,7.0540,0
-59.1679,221.6514,-1.2976,-1.1773,7.5788,0
-58.7773,220.7105,-1.3200,-1.2290,7.1939,0
-58.4554,219.5663,-1.3472,-1.2924,6.9628,0
-58.1838,218.5979,-1.3597,-1.3453,7.0609,0
-57.9235,217.4326,-1.3935,-1.4073,7.0359,0
-57.7431,216.2698,-1.3959,-1.4657,7.1807,0
-57.5899,215.0997,-1.3945,-1.5160,7.0748,0
-57.4919,213.9081,-1.3951,-1.5509,6.9815,0
-57.4620,212.8235,-1.3949,-1.5676,8.1007,0
-57.4413,211.7604,-1.3872,-1.5754,7.6675,0
-57.4202,210.5840,-1.3829,-1.5790,7.0255,0
-57.4052,209.5650,-1.3772,-1.5858,7.3235,0
-57.3931,208.4069,-1.3607,-1.5917,6.7960,0
-57.4162,207.3917,-1.3635,-1.5905,6.8824,0
-57.4118,206.2058,-1.3521,-1.5892,7.3568,0
-57.3950,205.0121,-1.3629,-1.5844,7.2592,0
-57.3806,203.7963,-1.3801,-1.5777,7.7509,0
-57.3511,202.7900,-1.3870,-1.5726,7.1148,0
-57.3326,201.7829,-1.3882,-1.5691,7.7099,0
-57.2949,200.7822,-1.3786,-1.5683,7.1440,0
-57.2656,199.7376,-1.3811,-1.5664,7.7908,0
-57.2418,198.6543,-1.3730,-1.5648,7.4355,0
-57.2332,197.5956,-1.3750,-1.5630,7.6649,0
-57.2053,196.5104,-1.3637,-1.5613,7.9535,0
-57.1852,195.4052,-1.3777,-1.5600,7.7633,0
-57.1319,194.3158,-1.3823,-1.5591,7.8325,0
-57.1064,193.1826,-1.3889,-1.5568,8.1811,0
-57.0568,192.0495,-1.3793,-1.5567,8.1780,0
-57.0313,190.8844,-1.3955,-1.5557,8.7626,0
-56.9871,189.7200,-1.3960,-1.5552,8.6634,0
-56.9477,188.5496,-1.3980,-1.5550,8.3050,0
-56.8951,187.3948,-1.3925,-1.5550,8.0191,0
-56.8679,186.2554,-1.4044,-1.5577,7.6467,0
-56.8391,185.0928,-1.4079,-1.5656,8.3625,0
-56.8185,183.8943,-1.4130,-1.5767,8.9128,0
-56.8037,182.6946,-1.4177,-1.5905,8.4223,0
-56.7981,181.4970,-1.4267,-1.6030,8.4698,0
-56.8288,180.2893,-1.4524,-1.6125,8.4505,0
-56.8589,179.0753,-1.4496,-1.6213,8.6490,0
-56.8861,177.8537,-1.4673,-1.6261,8.8119,0
-56.9316,176.8418,-1.4739,-1.6293,9.0222,0
-56.9896,175.6017,-1.5014,-1.6319,8.9466,0
-57.0416,174.3564,-1.5030,-1.6357,8.9315,0
-57.0884,173.3548,-1.5041,-1.6396,8.7981,0
-57.1474,172.3383,-1.5195,-1.6411,9.2167,0
-57.2089,171.3144,-1.5135,-1.6429,9.2198,0
-57.2730,170.0682,-1.5105,-1.6443,9.0921,0
-57.3222,169.0392,-1.5122,-1.6458,8.7698,0
-57.3782,167.7857,-1.5200,-1.6471,9.2802,0
-57.4654,166.5528,-1.5203,-1.6484,8.9699,0
-57.5392,165.3069,-1.5171,-1.6498,9.2701,0
-57.5945,164.0697,-1.5184,-1.6517,9.1322,0
